,﻿achieve_1,achieve_2,achieve_3,achieve_4,achieve_5,achieve_6,self_1,self_2,self_3,self_4,self_5,self_6,self_7,self_8,curio_1,curio_2,curio_3,curio_4,curio_5,curio_6,curio_7,curio_8,curio_9,curio_10,curio_11,info_1,info_2,info_3,info_4,info_5,info_6,inter_d_1,inter_d_2,inter_d_3,inter_d_4,inter_d_5,inter_d_6,inter_d_7,inter_d_8,deci_1,deci_2,deci_3,deci_4,deci_5
119,2,1,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
120,4,2,2,3,4,2,4,3,2,4,4,0,1,4,2,1,0,2,1,3,3,0,3,3,2,0,0,0,2,0,1,2,4,4,0,3,0,3,2,1,0,4,3,2
121,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
122,1,2,2,0,1,1,2,4,2,3,2,4,2,3,2,1,2,1,1,3,2,1,3,3,2,2,2,2,2,2,2,3,3,3,2,1,2,2,2,2,2,3,1,2
123,3,1,3,1,1,2,3,1,1,3,3,3,1,3,3,3,3,1,3,2,1,1,1,1,0,0,1,1,1,3,2,3,3,2,1,2,2,2,2,2,4,4,3,4
124,3,3,1,1,1,2,1,3,0,4,3,0,0,2,3,2,2,1,3,0,1,1,2,3,1,0,4,0,2,4,4,3,4,4,3,2,4,3,3,1,1,2,3,0
125,3,3,4,0,1,2,2,1,3,3,4,3,3,1,2,2,2,2,3,1,1,3,3,3,2,1,1,2,2,1,1,2,2,2,3,3,0,2,3,0,3,3,1,1
126,2,1,2,0,2,2,2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,3,3,2,2,4,2,2,3,2,3,3,2
127,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,1,2,1,2,2
128,3,2,1,1,3,2,3,3,3,4,4,3,3,2,3,2,1,2,3,3,3,1,2,1,2,2,1,1,1,0,3,3,3,2,1,1,1,3,1,1,1,0,1,4
129,2,2,2,1,2,2,2,2,3,2,2,2,2,3,3,3,2,3,1,4,2,3,1,3,2,1,3,1,2,2,3,3,1,3,1,1,1,1,3,2,2,1,2,2
130,2,2,3,1,3,3,0,3,3,3,3,0,0,3,2,2,3,2,3,2,1,3,3,3,1,0,1,2,1,0,3,3,4,3,4,3,3,2,3,0,1,2,1,1
131,4,3,1,2,2,2,2,1,0,2,2,0,0,2,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,3,3,4,2
132,3,2,3,3,3,1,3,1,2,4,2,0,2,3,3,1,2,1,1,1,1,0,3,1,1,2,2,2,3,4,3,0,2,2,1,2,1,2,3,4,1,4,3,3
133,4,2,1,2,2,2,2,4,0,3,0,2,2,1,2,4,2,3,1,2,2,2,2,3,2,4,2,0,2,3,2,2,2,2,2,4,2,0,2,2,2,3,2,1
134,1,1,2,2,2,2,2,3,2,3,2,1,1,2,3,3,4,2,2,3,2,2,4,3,1,0,1,0,3,2,3,3,2,3,1,2,4,2,1,1,2,1,2,3
135,4,2,2,3,3,2,2,1,1,3,2,1,2,2,3,2,1,2,1,2,2,2,2,1,3,1,3,2,2,1,3,3,1,3,2,1,1,1,3,3,3,2,3,2
136,1,2,2,1,2,3,2,3,3,3,3,3,1,1,3,3,3,1,1,2,2,2,3,2,2,1,1,1,2,0,1,3,2,2,2,2,1,1,2,2,4,4,3,3
137,3,2,2,2,2,1,2,3,2,3,2,2,1,1,3,3,3,3,2,3,3,3,3,2,2,2,1,2,3,1,2,2,1,2,2,1,1,1,1,2,2,3,2,2
138,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,3,1,2,2,2,3,2,2,0,3,2,2,2,2,3,3,4,2,3,2,2,3,3,2,2,3,3
139,4,3,2,1,3,3,2,2,3,2,3,2,2,4,3,2,2,2,2,2,2,2,3,2,1,0,1,2,1,1,1,2,4,2,2,2,2,2,2,0,2,3,2,1
140,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,1,2
